INTERSECTION_ID,ID,AADT_MAJOR,AADT_MINOR,LIGHTING,APPROACH_LEFTTURN,APPROACH_RIGHTTURN,SKEW_ANGLE,PDO,KA,BC,BC
064-002,22,600,550,0,0,0,5,0,0,0,0
029-001,8,750,300,0,0,0,45,0,0,0,0
070-005,30,1000,30,0,0,0,5,0,0,0,0
064-003,23,1300,350,0,0,0,20,0,0,0,0
133-001,50,1400,950,1,0,0,0,0,0,0,0
021-003,6,2700,700,1,0,0,40,0,0,0,0
089-019,37,3600,1000,1,0,0,50,0,0,0,0
040-011,14,4500,1900,1,0,0,35,0,0,0,0
100-021,39,6100,1300,1,0,0,0,0,0,0,0
005-021,1,6400,5300,0,0,0,15,0,0,0,0
037-006,12,7000,1400,1,0,0,0,0,0,0,0
049-005,17,8300,3200,1,0,0,30,0,0,0,0
065-002,25,12300,1100,1,0,0,0,0,0,0,0
099-004,38,1000,500,1,0,0,30,0,0,1,1
029-002,9,1100,550,0,0,0,30,1,0,0,1
077-012,33,1100,800,0,0,0,45,1,0,0,1
021-001,5,1400,600,0,0,0,10,1,0,0,1
127-003,48,1500,600,0,0,0,5,1,0,0,1
146-003,54,2100,1200,1,0,0,20,0,0,1,1
031-003,10,2500,1100,0,0,0,5,1,0,0,1
072-001,31,5500,100,1,0,0,5,0,0,1,1
059-006,20,5900,800,1,0,0,20,1,0,0,1
076-009,32,6300,450,1,0,0,0,1,0,0,1
108-004,42,6800,3300,1,0,0,20,0,0,1,1
064-004,24,1100,350,0,0,0,5,2,0,0,2
038-001,13,2500,1900,0,0,0,20,1,0,1,2
153-007,56,4700,1500,1,0,0,20,2,0,0,2
139-010,51,6200,2700,1,0,0,20,2,0,0,2
060-007,21,8700,600,1,0,0,5,2,0,0,2
014-010,3,1500,750,1,0,0,20,2,1,0,3
143-001,52,4200,2200,1,0,0,40,2,0,1,3
065-003,26,12300,2200,1,1,1,40,3,0,0,3
082-003,34,13300,1500,1,0,0,5,0,2,1,3
067-001,27,1000,1000,0,0,0,0,3,0,1,4
057-001,19,2600,1300,1,0,0,10,3,1,0,4
146-008,55,4000,2000,1,1,0,20,3,0,1,4
107-007,41,4300,2200,1,0,0,10,3,0,1,4
018-009,4,4700,1500,1,0,0,10,2,0,2,4
168-003,59,4900,3800,0,0,0,25,4,0,0,4
167-004,58,6700,1300,1,0,0,70,3,0,1,4
055-005,18,7900,550,1,0,0,20,3,1,0,4
143-024,53,8200,4400,0,0,0,30,4,0,0,4
169-008,61,8200,1600,1,0,0,5,2,1,1,4
110-007,43,3100,1100,0,0,0,5,2,0,3,5
115-004,46,4200,1100,0,0,0,25,4,0,1,5
027-001,7,8400,1200,1,0,0,10,4,0,1,5
129-001,49,8400,2300,1,0,0,25,3,0,2,5
113-006,45,11600,1200,1,0,0,0,3,0,2,5
069-003,29,3500,1400,0,0,0,15,2,0,4,6
032-002,11,7800,1900,1,0,0,10,5,0,1,6
084-004,35,7400,1700,0,0,0,60,6,0,1,7
011-001,2,8500,1600,1,0,0,20,6,1,1,8
049-003,16,8700,3200,1,1,0,20,8,0,0,8
045-001,15,7800,2600,0,0,0,5,7,0,2,9
084-005,36,6200,1900,1,0,0,10,7,0,3,10
169-003,60,1800,1100,0,0,0,10,8,0,3,11
110-014,44,2100,1700,1,0,0,0,8,0,3,11
126-014,47,3800,2300,1,0,0,55,8,0,3,11
069-002,28,7000,1000,0,0,0,10,10,0,2,12
101-003,40,15000,2600,0,0,0,25,9,0,3,12
166-018,57,10200,1200,1,1,0,45,8,0,9,17